date,lift,weight,notes
2025-06-23,Squat,80,
2025-06-23,Bench,60,
2025-06-23,Deadlift,100,
2025-06-25,Squat,85,
2025-06-25,Press,45,
2025-06-25,Deadlift,110,
2025-06-27,Squat,90,
2025-06-27,Bench,65,
2025-06-27,Deadlift,120,
2025-06-29,Squat,95,
2025-06-29,Press,50,
2025-06-29,Deadlift,130,
2025-07-01,Squat,100,
2025-07-01,Bench,70,
2025-07-01,Deadlift,140,
2025-07-09,Squat,105,
2025-07-09,Press,55,
2025-07-09,Deadlift,150,
2025-07-11,Squat,110,
2025-07-11,Bench,75,
2025-07-11,Deadlift,160,
2025-07-14,Squat,115,
2025-07-14,Press,60,
2025-07-14,Deadlift,170,
2025-07-18,Squat,120,
2025-07-18,Bench,80,
2025-07-18,Deadlift,180,
2025-07-30,Squat,120,
2025-07-30,Press,60,
2025-10-06,Squat,95,
2025-10-06,Press,45,
2025-10-06,Deadlift,135,
2025-10-08,Squat,100,
2025-10-08,Bench,65,
2025-10-08,Deadlift,145,
2025-10-10,Squat,105,
2025-10-10,Press,50,
2025-10-10,Deadlift,155,
2025-10-13,Squat,110,
2025-10-13,Bench,70,
2025-10-13,Deadlift,165,
2025-10-15,Squat,115,
2025-10-15,Press,55,
2025-10-15,Deadlift,175,
2025-10-17,Squat,120,
2025-10-17,Bench,75,
2025-10-17,Deadlift,185,
2025-10-20,Squat,125,
2025-10-20,Press,60,
2025-10-20,Deadlift,195,
2025-10-22,Squat,130,
2025-10-22,Bench,80,
2025-10-22,PowerClean,45,
2025-10-25,Squat,135,
2025-10-25,Press,60,
2025-10-25,Deadlift,205,
2025-10-27,Squat,140,
2025-10-27,PowerClean,50,
2025-10-29,Squat,145,
2025-10-29,Press,65,
2025-10-29,Deadlift,215,
2025-10-31,Squat,150,
2025-10-31,Bench,85,
2025-10-31,PowerClean,55,
2025-11-03,Squat,155,
2025-11-03,Press,65,
2025-11-03,Deadlift,215,
2025-11-11,Squat,165,
2025-11-11,Press,65,
2025-11-11,Deadlift,215,
2025-11-13,Squat,170,
2025-11-13,Bench,90,
2025-11-16,Squat,175,
2025-11-16,Press,65,
2025-12-01,Squat,180,
2025-12-08,Squat,185,
2025-12-08,PowerClean,65,
2025-12-10,Squat,190,
2025-12-10,Press,66,"3 reps of 70 lbs, 12 reps of 65 lbs, average of 66 lbs"
2025-12-10,Deadlift,225,
2025-12-15,Squat,195,
2025-12-15,PowerClean,75,
2026-01-19,Squat,185,
2026-01-19,Bench,85,
2026-01-26,Squat,195,
2026-01-26,Press,70,
2026-02-04,Squat,185,
2026-02-04,Bench,85,
2026-02-04,PowerClean,75,
2026-02-09,Squat,185,
2026-02-09,Bench,85,
2026-02-09,Deadlift,205,
2026-02-11,Squat,195,
2026-02-11,Press,66.33,"4 reps of 70 lbs, 11 reps of 65 lbs, average of 66.33 lbs"
2026-02-11,PowerClean,80,
2026-02-13,Bench,90,
2026-02-14,Squat,200,
2026-02-16,Squat,205,
2026-02-16,Press,64.33,"3 reps of 70 lbs, 7 reps of 65 lbs, 5 reps of 60 lbs, average of 64.33 lbs"
2026-02-16,Deadlift,215,
2026-03-06,Squat,205,
2026-03-06,Bench,86,"3 reps of 90 lbs, 12 reps of 85 lbs, average of 86 lbs"
2026-03-06,PowerClean,78,"9 reps of 80 lbs, 6 reps of 75 lbs, average of 78 lbs"
2026-03-09,Squat,170,
2026-03-09,Press,55,
2026-03-09,Deadlift,180,
2026-03-12,Squat,175,
2026-03-12,Bench,70,
2026-03-12,PowerClean,65,
2026-03-16,Squat,135,
2026-03-16,Press,63.67,"11 reps of 65 lbs, 4 reps of 60 lbs, average of 63.67 lbs"
2026-03-16,Deadlift,195,
2026-04-03,Squat,135,
2026-04-03,Bench,75,
2026-04-03,Deadlift,155,
2026-04-10,Squat,115,
2026-04-10,Press,55,
2026-04-10,PowerClean,65,
2026-04-20,Squat,95,
2026-04-20,Bench,65,
2026-04-20,Deadlift,135,
2026-04-22,Squat,97,
2026-04-22,Press,55,
2026-04-22,PowerClean,65,
2026-04-24,Squat,99,
2026-04-24,Bench,67.5,
2026-04-24,Deadlift,140,
2026-05-01,Squat,104.5,
2026-05-01,Press,57.5,
2026-05-01,PowerClean,70,
2026-05-19,Squat,106.5,
2026-05-19,Bench,70,
2026-05-19,Deadlift,145,
2026-05-20,Press,58.4,"9 reps at 59 lbs, 6 reps at 57.5 lbs, average of 58.4 lbs"
2026-05-20,PowerClean,72.5,
2026-06-15,Bench,72.5,
2026-06-22,Squat,108.5,
2026-06-22,Press,59,all reps clean at 59 (up from 9@59 + 6@57.5 last time)
2026-06-22,PowerClean,75,
2026-06-29,Squat,110.5,
2026-06-29,Bench,75,
2026-06-29,Deadlift,150,
2026-07-01,Squat,112.5,
2026-07-01,Press,60,all reps clean at 60
2026-07-01,PowerClean,77.5,
2026-07-03,Squat,115,
2026-07-03,Bench,77.5,
2026-07-03,Deadlift,165,+15 jump from 150; felt strong
2026-07-06,Press,61.5,"all reps clean; first exercise + long (3-5min) rests, felt easier; only lift done (out of time)"
2026-07-08,Press,62.5,"all reps clean, felt extremely easy (fresh + long rests); only lift done (out of time)"
2026-07-09,Bench,80,
2026-07-09,Squat,120,+5 jump
2026-07-09,Deadlift,175,+10 jump; felt strong
