date,exercise,set,reps,weight,notes
2026-03-10,PullUps,1,2,,
2026-03-10,PullUps,2,2,,
2026-03-10,PullUps,3,2,,
2026-03-10,CableLateralRaise,1,8,7.5,
2026-03-10,CableLateralRaise,2,8,7.5,
2026-03-10,CableLateralRaise,3,8,7.5,
2026-03-10,CableTricepExt,1,10,17.5,
2026-03-10,CableTricepExt,2,10,17.5,
2026-03-10,CableTricepExt,3,10,17.5,
2026-03-10,BicepCurl,1,10,10,
2026-03-10,BicepCurl,2,10,10,
2026-03-10,BicepCurl,3,10,10,
2026-03-13,PullUps,1,3,,
2026-03-13,PullUps,2,3,,
2026-03-13,CableLateralRaise,1,10,2.5,
2026-03-13,CableLateralRaise,2,10,2.5,
2026-03-13,CableLateralRaise,3,10,2.5,
2026-03-13,CableTricepExt,1,10,17.5,
2026-03-13,CableTricepExt,2,10,17.5,
2026-03-13,CableTricepExt,3,10,17.5,
2026-03-13,BicepCurl,1,12,10,
2026-03-13,BicepCurl,2,12,10,
2026-03-13,BicepCurl,3,12,10,
2026-03-15,PullUps,1,3,,
2026-03-15,PullUps,2,3,,
2026-03-15,PullUps,3,2,,
2026-03-15,CableLateralRaise,1,12,2.5,
2026-03-15,CableLateralRaise,2,12,2.5,
2026-03-15,CableLateralRaise,3,12,2.5,
2026-03-15,CableTricepExt,1,12,17.5,
2026-03-15,CableTricepExt,2,12,17.5,
2026-03-15,CableTricepExt,3,12,17.5,
2026-03-15,BicepCurl,1,8,15,
2026-03-15,BicepCurl,2,8,15,
2026-03-15,BicepCurl,3,8,15,
2026-04-02,PullUps,1,3,,
2026-04-02,PullUps,2,3,,
2026-04-02,PullUps,3,3,,
2026-04-02,CableLateralRaise,1,8,4,
2026-04-02,CableLateralRaise,2,8,4,
2026-04-02,CableLateralRaise,3,8,4,
2026-04-02,CableTricepExt,1,8,19,
2026-04-02,CableTricepExt,2,8,19,
2026-04-02,CableTricepExt,3,8,19,
2026-04-02,BicepCurl,1,10,15,
2026-04-02,BicepCurl,2,10,15,
2026-04-02,BicepCurl,3,10,15,
